"","symbol","group","baseMean","logFC","lfcSE","stat","PValue","FDR"
"ENSG00000105607","GCDH","protein_coding",2288.89047491404,-3.32779727446172,0.187228970296065,-17.7739442202747,1.12495636351703e-70,1.66853527836847e-66
"ENSG00000052802","MSMO1","protein_coding",7660.11743181641,-3.77284548516193,0.214331038480195,-17.6028890258493,2.34073359958955e-69,1.73588803745561e-65
"ENSG00000115841","RMDN2","protein_coding",399.655292448341,-2.95339439963032,0.169066440165476,-17.4688388584964,2.47480161702778e-68,1.22354191945853e-64
"ENSG00000179152","TCAIM","protein_coding",1244.59059803771,-2.26187717297018,0.132132939468286,-17.1181931021301,1.08594043783896e-65,4.02666714350688e-62
"ENSG00000080709","KCNN2","protein_coding",364.650539016207,-5.5267983857481,0.324791967195542,-17.0164257246568,6.20443379450325e-65,1.84048324080144e-61
"ENSG00000120158","RCL1","protein_coding",2396.785987094,-3.94538795558637,0.238513423496639,-16.5415761416966,1.84140684148961e-61,4.55195771216233e-58
"ENSG00000109929","SC5D","protein_coding",4369.61768914786,-3.98362182124384,0.243293900174094,-16.3737020056535,2.94728147357606e-60,6.24486840229717e-57
"ENSG00000148672","GLUD1","protein_coding",17368.1528581337,-3.32458425673725,0.203875739138579,-16.3069145489521,8.81335401470673e-60,1.63399583432663e-56
"ENSG00000182551","ADI1","protein_coding",11684.1822962378,-3.54261618205519,0.21993126687546,-16.107833289849,2.24762482352954e-58,3.70408570917668e-55
"ENSG00000133027","PEMT","protein_coding",1439.69029332857,-3.83144547095935,0.241618367955718,-15.8574263346632,1.24908704654515e-56,1.85264590743576e-53
"ENSG00000023330","ALAS1","protein_coding",7414.45711492669,-3.83689655809475,0.246086363664417,-15.5916666854692,8.29410563744985e-55,1.1183470437696e-51
"ENSG00000205707","ETFRF1","protein_coding",1050.47012260812,-2.65385770521359,0.170495399841175,-15.5655677964672,1.24758087986539e-54,1.54200996751362e-51
"ENSG00000060971","ACAA1","protein_coding",6252.7295341698,-3.76518452815683,0.242380958140676,-15.5341597666742,2.03724910714073e-54,2.3243445197778e-51
"ENSG00000059769","DNAJC25","protein_coding",803.757698406308,-3.00453635654051,0.195349963231386,-15.3802760279086,2.21999225142971e-53,2.35192321951467e-50
"ENSG00000121691","CAT","protein_coding",15652.1351498173,-3.99758427487201,0.263267582096011,-15.1844911669153,4.48026342154164e-52,4.43008447122037e-49
"ENSG00000162688","AGL","protein_coding",1927.28622687743,-2.6511639985759,0.177295936492019,-14.9533263482057,1.4815988165287e-50,1.37344210292211e-47
"ENSG00000166145","SPINT1","protein_coding",12331.5198570542,4.55119130237485,0.304957456836775,14.924020384951,2.29988368747762e-50,2.00658087368636e-47
"ENSG00000102967","DHODH","protein_coding",2078.70221161422,-3.54077274291625,0.238064133522201,-14.8731885418013,4.92125638432696e-50,4.05511526068541e-47
"ENSG00000213398","LCAT","protein_coding",3501.23913114975,-4.62029360643967,0.312117590707696,-14.8030541821229,1.39979466394634e-49,1.09272391871853e-46
"ENSG00000094631","HDAC6","protein_coding",3787.87487009773,-2.13289285114043,0.145208468451218,-14.6884880330307,7.63995227055546e-49,5.66578860384393e-46
"ENSG00000104413","ESRP1","protein_coding",2792.97000514315,5.20543776536732,0.355550318599818,14.6405093542503,1.5490340622452e-48,1.09406062910575e-45
"ENSG00000112812","PRSS16","protein_coding",908.347020013143,5.36123268318887,0.366359743881311,14.6337930755999,1.70982906235434e-48,1.15273566603816e-45
"ENSG00000106012","IQCE","protein_coding",2093.9388494742,2.71399511842034,0.187068341130455,14.5080407621068,1.07754551934283e-47,6.94876310560557e-45
