"","symbol","HR","lower95","upper95","pValue"
"ENSG00000105607","GCDH","1.38561404017343","0.549019102983158","3.49701177589925","0.496"
"ENSG00000052802","MSMO1","1.24656461703112","0.492057439239276","3.15801209475932","0.636"
"ENSG00000115841","RMDN2","1.18571068839846","0.462303784601295","3.04109523523551","0.717"
"ENSG00000179152","TCAIM","0.551504906821793","0.218678907964104","1.39088705481574","0.21"
"ENSG00000080709","KCNN2","0.955341219386453","0.377848512439838","2.41545702949966","0.923"
"ENSG00000120158","RCL1","1.58804192846786","0.626216684472906","4.02716380623844","0.323"
"ENSG00000109929","SC5D","0.721325155499228","0.281913156287199","1.84563922737228","0.51"
"ENSG00000148672","GLUD1","0.55386374706643","0.216442407797288","1.41730566313867","0.178"
"ENSG00000182551","ADI1","0.801632429775616","0.316417467062962","2.03090732769214","0.621"
"ENSG00000133027","PEMT","3.97409998689045","1.5745948286355","10.0301807287712","0.00618"
"ENSG00000023330","ALAS1","0.763112822822545","0.301767582547224","1.92976719182572","0.571"
"ENSG00000205707","ETFRF1","1.51599006814717","0.589823143719638","3.89646610376701","0.363"
"ENSG00000060971","ACAA1","0.631402506835257","0.250635724691866","1.59063168719453","0.334"
"ENSG00000059769","DNAJC25","1.62861357881543","0.628878998326512","4.21763518285739","0.293"
"ENSG00000121691","CAT","0.943457828643298","0.373333462768263","2.38422955131895","0.902"
"ENSG00000162688","AGL","0.948607315495786","0.37643204286988","2.39048682506333","0.907"
"ENSG00000166145","SPINT1","0.815851706707842","0.322308365843314","2.06514654249365","0.657"
"ENSG00000102967","DHODH","1.41340063873019","0.5600770068899","3.56683338360225","0.442"
"ENSG00000213398","LCAT","0.422448174827156","0.164461562919992","1.08513173075957","0.0513"
"ENSG00000094631","HDAC6","0.690459533219503","0.273394563998746","1.74375949558339","0.422"
"ENSG00000104413","ESRP1","0.435730478179136","0.172586911059902","1.10008950532941","0.0782"
"ENSG00000112812","PRSS16","1.06423508794482","0.421190245721386","2.68903739798887","0.894"
"ENSG00000106012","IQCE","0.582158562764272","0.228403318185193","1.48381641253115","0.242"
"ENSG00000100714","MTHFD1","1.44203683081617","0.563606942354501","3.68957524324176","0.428"
"ENSG00000157379","DHRS1","1.26009623729771","0.497118191758727","3.19409459073365","0.608"
"ENSG00000106993","CDC37L1","0.876917735776038","0.347756952257589","2.21127057367634","0.774"
