"","TCGA-3X-AAV9-01","TCGA-3X-AAVA-01","TCGA-3X-AAVB-01","TCGA-3X-AAVC-01","TCGA-3X-AAVE-01","TCGA-4G-AAZO-01","TCGA-4G-AAZT-01","TCGA-W5-AA2G-01","TCGA-W5-AA2H-01","TCGA-W5-AA2I-01","TCGA-W5-AA2I-11","TCGA-W5-AA2O-01","TCGA-W5-AA2Q-01","TCGA-W5-AA2Q-11","TCGA-W5-AA2R-01","TCGA-W5-AA2R-11","TCGA-W5-AA2T-01","TCGA-W5-AA2U-01","TCGA-W5-AA2U-11","TCGA-W5-AA2W-01","TCGA-W5-AA2X-01","TCGA-W5-AA2X-11","TCGA-W5-AA2Z-01","TCGA-W5-AA30-01","TCGA-W5-AA30-11","TCGA-W5-AA31-01","TCGA-W5-AA31-11","TCGA-W5-AA33-01","TCGA-W5-AA34-01","TCGA-W5-AA34-11","TCGA-W5-AA36-01","TCGA-W5-AA38-01","TCGA-W5-AA39-01","TCGA-W6-AA0S-01","TCGA-WD-A7RX-01","TCGA-YR-A95A-01","TCGA-ZD-A8I3-01","TCGA-ZH-A8Y1-01","TCGA-ZH-A8Y2-01","TCGA-ZH-A8Y4-01","TCGA-ZH-A8Y5-01","TCGA-ZH-A8Y6-01","TCGA-ZH-A8Y8-01","TCGA-ZU-A8S4-01","TCGA-ZU-A8S4-11"
"hsa-let-7a-5p",14.7699315030607,14.9219862000306,14.9020188931188,13.9134176920115,14.6384073885617,14.551942029343,14.4593482215565,13.8777329749942,14.2892910031965,14.7854245190662,14.0674819833003,13.8332412715596,15.2173292374289,14.7897915639883,14.5214662009696,14.3934710572975,14.7838342827015,13.9867305155051,14.3301039965416,15.4139381821897,14.4086856301828,14.1099941809853,15.1017018804605,14.0097464171814,14.0489092040451,14.245207406282,14.3016142096853,14.5115036925384,14.5085252281501,13.9092386972664,14.5734515296502,14.6104960556341,14.0527886886255,14.8111466890763,14.3092616407081,15.0290526220248,13.9166870331417,14.716388840729,14.4380319405212,14.3558510525439,15.133236893167,14.3666173760978,14.9732371815865,14.8725921855284,14.6979424142905
"hsa-let-7a-3p",5.09754836880918,5.33237418810275,5.50422123074949,4.55121010910302,5.02697195235132,5.5531003876671,5.16658796982819,4.54288995020368,4.64609148881849,4.66349831816884,4.99654820596657,3.75080520200868,6.2390164187523,4.71423350779984,5.37120219186528,4.34272182351204,4.50676579724649,4.36949157273674,5.07787303082155,4.76065015882453,4.56542389438203,5.56570722340319,5.19230273454844,5.72593072079277,4.71323391967217,4.4502727638378,4.6083381295142,5.12561123653294,4.46624830200559,5.12928888132935,5.50616747311228,4.62331064705348,5.16903583690484,5.11118829585763,5.44387871764798,4.50124039920098,4.98343761150375,5.29126511596236,4.92274793998205,4.60481448193052,5.44459326477274,4.65271847959405,4.40586535242312,4.90397621024265,4.62259023221875
"hsa-let-7a-2-3p",2.42177070490236,2.72402875994365,2.90127298455497,-1.77671672640578,3.14910025021434,2.76616130216359,2.94868293948406,2.16246620600618,1.92893437573247,2.84343234436168,3.78115917236788,1.53781147867448,2.73402222273456,2.52765726580736,3.50521953983697,3.11580684348489,0.136307808431472,3.1105153834773,2.18562921117744,1.3117492076794,2.27503137292777,2.83162990856181,3.94055640046473,3.24109625455916,2.14951915265506,2.082297301431,3.09507709414723,3.5305599181882,0.184962191615575,3.76056657496305,1.99346106143264,0.56219913275009,2.79440069168663,2.71090456326881,3.01223925103201,3.28348687266805,3.25692096656857,2.06076004883859,1.83726004091677,1.46076811231381,3.52212986524376,2.82909850317366,1.03022667079099,5.86090748835077,2.45480414153277
"hsa-let-7b-5p",13.3847034619634,13.1447114465018,14.2783143799743,13.2989991758949,14.4153315908118,14.5099817714493,14.0033934186242,13.1268817687191,13.4414204675374,14.0089897184159,13.2174472331662,12.9526408326618,15.6092483218539,13.744086430984,13.3430509058766,13.318132526601,14.1366275521065,12.6753499443526,13.4787698887476,14.9152781952809,14.3947699432568,13.2317835464565,13.7855161172635,12.9827763206888,13.2147699273418,13.0188755579371,13.2158333671257,14.121097725163,13.3237495034918,12.9487885767981,13.3223100579416,13.9670848197539,12.9743965490426,13.3989718550805,13.0587401469363,14.5071022187116,13.7536512246642,14.8870053643789,14.6408984080853,13.6121018316055,15.409205805971,12.0079411683223,13.7066017583408,14.3768860121213,13.4653881918524
"hsa-let-7b-3p",3.04692229573921,3.92196813755555,4.3789224611335,3.55718401014766,4.7340627509355,4.41285279263646,4.28806823144797,3.64433521376323,3.67895612272412,3.44110589683239,4.61276164067216,3.43593186465526,5.9164652640233,4.03899690338534,4.06409281168946,3.90263295217783,4.49940509229524,4.19702437673198,4.36040361228115,4.31894470908361,3.93594272688223,4.23943583860958,4.13449828302558,4.19903219499261,4.32225368768419,3.55934446298527,4.62660033590693,4.61175600103618,3.75650417657441,4.61909414901017,3.98097011724944,3.75657717791694,4.31065044232377,3.82379861967475,3.74920484519821,4.0651412843943,4.39171774460728,4.83149637966004,5.20215817476969,3.95646327493788,5.17268070759249,2.34367167600342,3.5731251119456,4.50207981065188,4.28668138272444
"hsa-let-7c-5p",11.2039637842195,9.70108415694075,10.6062549861198,7.19195006678942,10.0763010034386,9.13491820361007,10.4731309672166,10.5006262405968,10.4023326521424,10.114936689515,12.0246559244625,9.30298454157568,10.3833840805831,12.4749561815728,10.5260352332527,12.4354789644319,8.6169385927746,9.92235005534231,12.5723082347568,9.2671085129224,9.15204600076289,11.8455015438583,11.2755932440145,9.75434738780121,12.0122652512899,9.96642655882996,12.2560027812876,10.5563114649192,10.3594718120973,11.9264674736116,9.55095777400306,8.76526472503288,10.170450342976,9.79762711798573,10.5335731061969,11.2010768578556,9.5967709694532,10.9858329244137,10.0110243201661,9.79972728772901,9.34990951015994,9.71851796255577,10.2842778600896,10.3679012097253,12.4957148321775
"hsa-let-7c-3p",2.87897765842514,3.16012787475032,2.96202701563407,0.886248286316646,2.99083816629761,2.81270388810062,3.26306422531807,3.08584492440326,2.61246071093721,2.17300050145117,6.09327297742829,1.53781147867448,2.78951733532626,4.4445616500439,3.73424505350586,4.94340255798012,-0.204729109403595,3.52959971581885,5.07787303082155,0.755355859155016,1.45789543007759,4.165053642287,3.94055640046473,3.42750937879004,4.70464642383545,2.00212695274702,5.15292116871951,3.59006092993686,1.76992469233673,5.37689324659354,2.6900689179827,-0.330885663333398,2.32233224737141,2.71090456326881,3.49256821056257,2.78503336520157,2.84683268326146,3.09823475425726,2.02570513032988,1.20922934531785,2.12561245393572,2.13722079853599,1.78695551977862,2.03890579032876,4.39089237771258
"hsa-let-7d-5p",6.27890826531378,7.50590271159205,6.778911701053,7.02741429477753,7.14087974340937,6.77353329081995,7.67447150705428,6.74950005674703,7.55076425917719,7.17743859121179,6.71549974626142,6.68200620502337,7.65311922733379,6.88047480660749,7.1645057701813,6.39101041220661,7.80089543979028,7.41696114634211,6.4743904421296,7.51102892901603,7.43735465163675,6.66485735578642,6.9700919099195,6.89750056911362,6.55861228818464,6.96955909029059,6.74207755332686,6.96211250425006,7.0635240641656,6.74261989520365,7.77119818663611,7.11796810313638,6.49999289759332,7.14106533719225,6.67941651504135,7.74218148232846,7.14183101864359,7.06155078332859,7.14316271187806,6.91625973294228,8.0122422278819,5.71290548566914,6.67706466329626,6.82997562879888,6.63006258727812
"hsa-let-7d-3p",7.18748523755018,8.8935608170717,8.01630264650649,8.63867295035336,8.65091159171382,7.52803946629529,8.15949190309002,8.39393569199451,7.71505546335085,7.39230538894788,8.28114014958096,7.60390066913225,9.06053983220614,7.88520927042545,8.36426999019579,8.45546110726863,8.32847081993837,8.51780702095108,8.19854996960169,8.00718631808477,8.41596474961167,7.84300627204586,7.94509012598536,8.24678532644098,8.35863044476945,8.57024594330476,8.59738454811407,7.42525006019119,8.08314366603204,8.72292237003871,8.86212398778906,7.90136393256276,8.39811328357411,8.67534618143949,7.74049572400615,7.94410378315581,8.22353790700562,7.7430770650826,9.1125183527891,7.72305091873447,8.93585618108155,6.34967041662486,7.00592642431816,8.10006479216662,8.1249646556594
"hsa-let-7e-5p",10.5679833900453,10.6345686207893,10.0058576482686,10.1260352184444,9.22910443127014,9.92900658762862,9.71364104606923,10.305717456123,8.7751845399931,10.3678960498786,8.59287401022749,8.46962344946462,9.75224968011154,9.08110030292164,9.27979407899275,8.21302865119756,10.705813690676,10.3968524949358,8.52547921406206,9.76707642798396,9.60400947024883,8.6965588808516,10.3946707374499,9.44493645054822,8.44301096903296,10.9920282481992,8.31301276764598,8.59778196700091,10.7704464060953,8.24641799478095,10.5249769700214,10.2818512192113,8.14539125217645,10.0292634479103,9.75037322211013,10.798477900502,9.90893428187784,10.0730660281302,9.77471940433376,9.77274342677497,10.3817489180324,9.55377475794188,10.8440631366212,9.85890235246039,8.99644287596891
