"","TCGA-3X-AAV9-01","TCGA-3X-AAVA-01","TCGA-3X-AAVB-01","TCGA-3X-AAVC-01","TCGA-3X-AAVE-01","TCGA-4G-AAZO-01","TCGA-4G-AAZT-01","TCGA-W5-AA2G-01","TCGA-W5-AA2H-01","TCGA-W5-AA2I-01","TCGA-W5-AA2I-11","TCGA-W5-AA2O-01","TCGA-W5-AA2Q-01","TCGA-W5-AA2Q-11","TCGA-W5-AA2R-01","TCGA-W5-AA2R-11","TCGA-W5-AA2T-01","TCGA-W5-AA2U-01","TCGA-W5-AA2U-11","TCGA-W5-AA2W-01","TCGA-W5-AA2X-01","TCGA-W5-AA2X-11","TCGA-W5-AA2Z-01","TCGA-W5-AA30-01","TCGA-W5-AA30-11","TCGA-W5-AA31-01","TCGA-W5-AA31-11","TCGA-W5-AA33-01","TCGA-W5-AA34-01","TCGA-W5-AA34-11","TCGA-W5-AA36-01","TCGA-W5-AA38-01","TCGA-W5-AA39-01","TCGA-W6-AA0S-01","TCGA-WD-A7RX-01","TCGA-YR-A95A-01","TCGA-ZD-A8I3-01","TCGA-ZH-A8Y1-01","TCGA-ZH-A8Y2-01","TCGA-ZH-A8Y4-01","TCGA-ZH-A8Y5-01","TCGA-ZH-A8Y6-01","TCGA-ZH-A8Y8-01","TCGA-ZU-A8S4-01","TCGA-ZU-A8S4-11"
"hsa-let-7a-5p",153811,119809,190562,79303,110684,107689,167773,48754,86760,222303,36839,27647,146012,164556,96310,112960,243819,83642,74702,219832,83131,93144,159156,75888,108872,84834,64988,96003,92264,51649,88781,110121,52668,94400,101905,152801,78460,183894,133551,95217,201767,93637,228366,127750,181795
"hsa-let-7a-3p",188,155,282,120,141,210,267,75,108,199,68,25,289,152,169,106,196,106,122,136,90,249,165,243,168,95,78,143,87,117,165,108,111,113,218,103,160,267,182,110,244,111,150,127,168
"hsa-let-7a-2-3p",29,25,46,1,38,30,57,14,16,56,29,5,25,33,46,45,9,44,16,12,18,37,69,43,28,18,27,47,4,45,14,6,21,21,40,44,48,28,21,12,64,31,14,247,37
"hsa-let-7b-5p",58883,34952,123675,51800,94827,104602,122311,28972,48204,129782,20437,15016,191588,79712,42553,53606,155682,33702,41405,155589,82333,50674,63916,37241,61068,36258,30618,73242,40586,26542,37298,70499,24941,35470,42830,106415,70076,206980,153715,56862,244301,18256,94915,90602,77365
"hsa-let-7b-3p",45,58,129,60,115,95,145,40,55,85,52,20,231,95,68,78,195,94,74,100,58,99,79,84,128,51,79,100,53,82,57,59,61,46,67,76,106,194,221,70,202,22,84,96,133
"hsa-let-7c-5p",12987,3212,9702,751,4685,2520,10586,4692,5864,8729,8940,1196,5119,33073,6038,29074,3393,4999,22089,3102,2174,19385,11221,3973,26535,4370,15741,6189,5200,13067,2731,1915,3571,2922,7440,10759,3928,13853,6208,4047,3663,3734,8853,5627,39504
"hsa-let-7c-3p",40,34,48,9,34,31,71,27,26,35,146,5,26,126,54,161,7,59,122,8,10,94,69,49,167,17,114,49,13,139,23,3,15,21,56,31,36,58,24,10,24,19,24,17,143
"hsa-let-7d-5p",427,701,683,670,612,490,1521,348,812,1139,225,194,771,684,587,440,1927,880,322,918,662,534,567,548,605,547,344,512,529,359,795,611,280,463,514,978,716,912,850,548,1449,232,726,484,677
"hsa-let-7d-3p",802,1835,1611,2048,1744,827,2129,1089,910,1322,667,368,2046,1373,1349,1842,2778,1888,1065,1295,1305,1209,1115,1397,2108,1660,1246,706,1073,1418,1694,1052,1045,1342,1073,1125,1516,1463,3330,959,2749,361,912,1168,1909
"hsa-let-7e-5p",8357,6135,6399,5743,2604,4370,6253,4099,1898,10402,828,671,3305,3146,2545,1557,14436,6946,1336,4387,2974,2185,6093,3206,2235,8897,1023,1592,6914,1019,5365,5480,877,3431,4323,8139,4877,7358,5270,3972,7490,3331,13050,3954,3493
"hsa-let-7e-3p",65,27,49,44,29,44,95,37,19,46,10,2,47,41,18,35,63,41,29,18,20,21,59,35,49,40,19,29,40,19,28,14,15,27,39,31,67,90,57,29,90,11,47,22,34
"hsa-let-7f-5p",53364,39299,41351,20512,18695,21766,39628,10725,22975,54584,8390,7675,17619,38796,23346,28855,55432,21067,16761,40540,18103,21922,39961,15962,22634,28763,15254,16445,33880,12711,20116,28478,8592,30573,29476,34300,16045,26463,24263,21792,26142,10506,72822,21129,51075
"hsa-let-7f-1-3p",6,7,8,12,12,3,16,4,16,11,4,2,13,11,7,9,19,18,6,17,3,10,9,7,5,7,8,8,2,8,11,6,9,6,8,8,9,14,11,6,19,0,10,15,14
"hsa-let-7f-2-3p",5,2,3,7,4,4,2,0,3,2,1,1,5,9,4,2,8,5,6,5,3,5,1,1,3,5,2,5,6,3,2,10,0,2,4,4,1,10,7,5,0,1,4,3,3
"hsa-miR-15a-5p",974,847,1029,1062,540,977,1001,493,832,2503,312,279,838,1739,499,868,1570,559,860,922,505,893,492,700,919,598,659,557,942,528,533,673,421,744,951,539,683,990,559,657,1005,1274,1837,676,1520
"hsa-miR-15a-3p",0,0,0,2,0,0,4,1,0,0,0,1,1,2,0,1,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
"hsa-miR-16-5p",1375,1493,1289,3023,2709,2830,2772,1353,2975,4523,675,1055,2382,2673,3244,1513,5041,2497,1514,3263,1377,1951,1296,1819,2140,1339,1260,2536,2398,1332,1781,2408,1048,1088,2411,2379,2399,2366,1992,2221,2835,1984,2637,1510,2269
"hsa-miR-16-1-3p",7,13,13,20,19,15,20,13,30,24,13,8,14,47,15,20,31,25,24,32,8,23,7,16,20,13,25,18,15,26,18,14,21,10,11,17,22,24,12,24,20,10,27,23,35
"hsa-miR-17-5p",1496,2443,1406,2400,1412,1259,1619,1055,1169,3943,904,894,1174,3287,1161,2844,3330,1204,2196,1499,3669,2078,1029,1544,2977,1716,1857,797,1386,1891,1803,739,1056,2104,1330,1471,863,1934,1664,2411,2394,547,2767,1166,2705
"hsa-miR-17-3p",1281,1188,1109,2027,1259,1044,2162,656,1286,3049,1001,529,1413,3905,1123,3421,2725,1164,1944,2304,2232,2499,735,556,2518,1814,2348,788,1087,2113,1476,951,1051,873,1017,1613,641,1564,1796,2303,1713,455,2701,1156,3532
"hsa-miR-18a-5p",31,32,22,103,21,28,35,13,33,142,26,12,20,35,27,28,81,38,18,27,97,21,17,42,37,56,21,32,25,14,25,11,27,31,39,30,57,65,40,43,39,9,79,29,29
"hsa-miR-18a-3p",3,1,6,8,4,5,4,1,3,7,1,1,6,3,2,2,5,3,2,3,8,1,1,5,2,5,4,1,2,1,3,3,9,0,7,1,7,5,10,4,5,1,5,7,1
"hsa-miR-19a-5p",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-19a-3p",245,263,163,95,57,202,89,48,76,334,45,55,55,172,68,138,169,62,111,84,120,113,168,193,139,122,86,64,82,84,59,54,41,190,179,59,78,97,116,115,74,84,351,64,165
"hsa-miR-19b-1-5p",25,40,42,42,37,42,69,27,26,81,30,17,49,98,51,95,88,31,68,103,57,58,17,17,88,51,55,27,29,61,64,34,20,26,27,29,25,51,60,96,54,10,66,48,79
"hsa-miR-19b-3p",801,883,670,684,382,934,661,262,556,1219,221,240,584,872,467,747,838,307,873,555,676,746,620,653,861,660,446,392,448,454,458,284,196,646,694,378,406,650,458,599,644,219,1080,357,753
"hsa-miR-19b-2-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-20a-5p",1710,3110,1489,1591,1093,1278,1325,908,1313,4645,706,905,1150,4694,1307,2970,3176,1222,2961,1784,3100,1912,1123,1002,2775,1598,1776,877,1504,1725,1322,717,631,2191,1639,1615,790,1748,1350,3146,1713,576,4349,1296,3087
"hsa-miR-20a-3p",17,14,25,27,16,35,16,8,14,15,19,5,24,40,18,36,26,9,43,10,41,31,19,17,67,20,20,20,17,19,25,6,35,17,22,13,16,33,18,16,12,12,16,16,30
"hsa-miR-21-5p",4068130,2278418,3417336,781412,1582296,3983997,2160697,1341548,606503,5525467,116355,744049,1246323,685223,1134138,374611,3872686,2632510,213307,3520180,1186866,662564,3537046,1414021,456625,2717293,292841,948446,2126533,185604,1014368,2171920,635674,1999477,1989872,2688659,2280655,3050505,3183845,4029602,2707538,547441,9144895,1931291,584814
