"","symbol","HR","lower95","upper95","pValue"
"hsa-miR-183-5p",NA,"0.760808596066097","0.29940626945763","1.93325851491556","0.55"
"hsa-miR-182-5p",NA,"0.481768573929681","0.185613035714579","1.25045613274245","0.107"
"hsa-miR-96-5p",NA,"0.865508072950791","0.342739375422419","2.18563806221487","0.752"
"hsa-miR-21-5p",NA,"1.25023216260211","0.496284155208369","3.14956752900658","0.636"
"hsa-miR-27a-3p",NA,"0.591591475642739","0.234690046406847","1.49124549341323","0.27"
"hsa-miR-505-3p",NA,"0.625376589802749","0.248236792123836","1.57549521860648","0.326"
"hsa-miR-148a-3p",NA,"0.627481312373238","0.24907528190667","1.58077828664338","0.329"
"hsa-miR-222-3p",NA,"1.57870636691872","0.626671629700817","3.9770649808091","0.339"
"hsa-miR-99a-3p",NA,"0.794672198309561","0.315446362905666","2.00193749881656","0.615"
"hsa-miR-4662a-5p",NA,"0.69084279657524","0.274018888845345","1.74171850557815","0.44"
"hsa-miR-101-3p",NA,"0.722865973844195","0.286603719185231","1.823197611068","0.488"
"hsa-miR-92b-3p",NA,"2.37634136074116","0.924780613223585","6.1063112504975","0.0559"
"hsa-miR-200b-3p",NA,"1.0653210890542","0.418888553646218","2.70933405294751","0.892"
"hsa-miR-23a-3p",NA,"0.819748707737296","0.325379851765128","2.0652414099753","0.664"
"hsa-let-7c-5p",NA,"0.846626201503278","0.335946782371043","2.1335996136442","0.713"
"hsa-miR-181d-5p",NA,"1.96950374738287","0.777206822619908","4.99087874432129","0.151"
"hsa-miR-200a-3p",NA,"0.64578824719991","0.254992649225888","1.63550777439113","0.339"
"hsa-miR-330-5p",NA,"1.15579268679411","0.457686149087957","2.91871785394586","0.748"
"hsa-miR-148a-5p",NA,"0.930482455474003","0.369136943827351","2.34546450693343","0.878"
"hsa-miR-99a-5p",NA,"0.730870174566071","0.289847952946478","1.84293594845183","0.49"
"hsa-miR-125b-2-3p",NA,"1.19250848973997","0.47324934566383","3.00492015706254","0.699"
"hsa-let-7c-3p",NA,"0.719129038920181","0.284968250578806","1.8147515506302","0.492"
"hsa-miR-378a-3p",NA,"1.21833120708477","0.481445821120264","3.08306950656001","0.673"
"hsa-miR-200b-5p",NA,"1.13426283622403","0.44393996068671","2.89803193127486","0.787"
"hsa-miR-139-5p",NA,"0.752965755208789","0.297916307266994","1.90307618175809","0.555"
"hsa-let-7e-5p",NA,"0.736117730824766","0.28904804891787","1.87466864302747","0.5"
"hsa-miR-221-3p",NA,"1.66725085142478","0.661553465990572","4.20181518876096","0.282"
"hsa-miR-200a-5p",NA,"1.01128917641479","0.40142903609178","2.54766274081849","0.98"
"hsa-miR-181b-5p",NA,"2.00069104039569","0.794181499073522","5.04011317789338","0.156"
"hsa-miR-429",NA,"0.479820873344663","0.190429294545084","1.20899502908534","0.119"
"hsa-miR-135b-5p",NA,"1.02208526195694","0.402914300468305","2.59275553509863","0.962"
"hsa-miR-454-3p",NA,"1.03058994196476","0.407338669190235","2.6074510200329","0.949"
"hsa-miR-24-2-5p",NA,"1.08035155643794","0.428553659460043","2.72348505194997","0.869"
"hsa-miR-139-3p",NA,"1.03381280985127","0.407267543334198","2.62424281852372","0.944"
"hsa-miR-378a-5p",NA,"0.860282891815858","0.341284270363441","2.16853432231999","0.75"
"hsa-miR-99b-3p",NA,"1.35223758613368","0.535377716809245","3.41543256647","0.518"
"hsa-miR-423-5p",NA,"2.46097592471674","0.972047384224466","6.23056303666455","0.0569"
"hsa-miR-181c-5p",NA,"0.48228393003319","0.189749757197772","1.22581336916193","0.119"
"hsa-miR-378c",NA,"1.00254216328278","0.395626183257358","2.54050624476968","0.996"
"hsa-miR-34c-5p",NA,"0.884089587958536","0.350327730039799","2.23109486493661","0.785"
"hsa-miR-30e-3p",NA,"0.704033846050976","0.278942043026769","1.77694137107099","0.455"
"hsa-miR-34c-3p",NA,"0.75734810344694","0.297957664093657","1.9250256627545","0.552"
"hsa-miR-199b-5p",NA,"0.733906113024904","0.29107656049842","1.85043475095703","0.51"
"hsa-miR-1468-5p",NA,"0.798793083484815","0.317083706289012","2.01230898203769","0.634"
"hsa-miR-708-5p",NA,"0.766545327918068","0.304218803224721","1.93147738905204","0.573"
"hsa-miR-301a-3p",NA,"0.68035951011986","0.265469976882689","1.7436588063406","0.4"
"hsa-miR-194-3p",NA,"0.95333554327344","0.378330172189092","2.40226322106347","0.919"
"hsa-miR-624-5p",NA,"0.94779966312729","0.376107609282232","2.3884765403672","0.909"
"hsa-miR-505-5p",NA,"0.439610016394619","0.171761391426509","1.12514788631743","0.0784"
"hsa-miR-106b-5p",NA,"1.96620293250996","0.775972025516102","4.98207905013005","0.143"
"hsa-miR-125a-3p",NA,"1.86044779729815","0.725101719516992","4.77349027496058","0.179"
"hsa-miR-574-3p",NA,"1.20502593139809","0.476420302422128","3.04791271060321","0.691"
"hsa-miR-99b-5p",NA,"0.847996314712533","0.336483230176207","2.1370983314368","0.727"
"hsa-miR-675-3p",NA,"1.07952472696311","0.427458107618535","2.72628736092371","0.868"
"hsa-miR-146b-3p",NA,"0.583364093776145","0.231366298070712","1.47088693878507","0.242"
"hsa-miR-200c-3p",NA,"1.31932421644104","0.519078748952625","3.35328000154102","0.548"
"hsa-miR-424-5p",NA,"0.761454770991303","0.299676652633334","1.93479659883562","0.545"
"hsa-let-7i-5p",NA,"0.673166258121692","0.262409966530733","1.72688871945147","0.393"
"hsa-miR-1301-3p",NA,"1.11413086466029","0.436243494755519","2.84540078765951","0.821"
"hsa-miR-708-3p",NA,"1.01008286727206","0.398443313376784","2.56063375768524","0.983"
"hsa-miR-181c-3p",NA,"0.994337077411056","0.392553676833795","2.51865230632644","0.99"
